FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC
M2265,1S,101000838,380278.06,349780.51,8659.87,50,5,,83761.25,2897,Interest FN SG,20170801,5,5,815.56,51,5,Y,Y
M2265,1S,101000838,380278.06,343681,8659.87,50,6,,83761.25,2897,Interest FN SG,20170901,6,6,801.67,51,6,Y,Y
M2265,1S,101000838,380278.06,337581.49,8659.87,50,7,,83761.25,2897,Interest FN SG,20171001,7,7,787.64,51,7,Y,Y
M2265,1S,101000838,380278.06,331481.98,8659.87,50,8,,83761.25,2897,Interest FN SG,20171101,8,8,773.46,51,8,Y,Y
M2265,1S,101000838,380278.06,325382.47,8659.87,50,9,,83761.25,2897,Interest FN SG,20171201,9,9,759.14,51,9,Y,Y
M2265,1S,101000838,380278.06,319282.96,8659.87,50,10,,83761.25,2897,Interest FN SG,20180101,10,10,744.66,51,10,Y,Y
M2265,1S,101000838,380278.06,313183.45,8659.87,50,11,,83761.25,2897,Interest FN SG,20180201,11,11,730.03,51,11,Y,Y
M2265,1S,101000838,380278.06,307083.94,8659.87,50,12,,83761.25,2897,Interest FN SG,20180301,12,12,715.25,51,12,Y,Y
M2265,1S,101000838,380278.06,300984.43,8659.87,50,13,,83761.25,2897,Interest FN SG,20180401,13,13,700.31,51,13,Y,Y
M2265,1S,101000838,380278.06,294884.92,8659.87,50,14,,83761.25,2897,Interest FN SG,20180501,14,14,685.22,51,14,Y,Y
M2265,1S,101000838,380278.06,288785.41,8659.87,50,15,,83761.25,2897,Interest FN SG,20180601,15,15,669.96,51,15,Y,Y
M2265,1S,101000838,380278.06,282685.9,8659.87,50,16,,83761.25,2897,Interest FN SG,20180701,16,16,654.55,51,16,Y,Y
M2265,1S,101000838,380278.06,276586.39,8659.87,50,17,,83761.25,2897,Interest FN SG,20180801,17,17,638.98,51,17,Y,Y
M2265,1S,101000838,380278.06,270486.88,8659.87,50,18,,83761.25,2897,Interest FN SG,20180901,18,18,623.24,51,18,Y,Y
M2265,1S,101000838,380278.06,264387.37,8659.87,50,19,,83761.25,2897,Interest FN SG,20181001,19,19,607.34,51,19,Y,Y
M2265,1S,101000838,380278.06,258287.86,8659.87,50,20,,83761.25,2897,Interest FN SG,20181101,20,20,591.27,51,20,Y,Y
M2265,1S,101000838,380278.06,252188.35,8659.87,50,21,,83761.25,2897,Interest FN SG,20181201,21,21,575.03,51,21,Y,Y
M2265,1S,101000838,380278.06,246088.84,8659.87,50,22,,83761.25,2897,Interest FN SG,20190101,22,22,558.62,51,22,Y,Y
M2265,1S,101000838,380278.06,239989.33,8659.87,50,23,,83761.25,2897,Interest FN SG,20190201,23,23,542.04,51,23,Y,Y
M2265,1S,101000838,380278.06,233889.82,8659.87,50,24,,83761.25,2897,Interest FN SG,20190301,24,24,525.28,51,24,Y,Y
M2265,1S,101000838,380278.06,227790.31,8659.87,50,25,,83761.25,2897,Interest FN SG,20190401,25,25,508.35,51,25,Y,Y
M2265,1S,101000838,380278.06,221690.8,8659.87,50,26,,83761.25,2897,Interest FN SG,20190501,26,26,491.25,51,26,Y,Y
M2265,1S,101000838,380278.06,215591.29,8659.87,50,27,,83761.25,2897,Interest FN SG,20190601,27,27,473.96,51,27,Y,Y
M2265,1S,101000838,380278.06,209491.78,8659.87,50,28,,83761.25,2897,Interest FN SG,20190701,28,28,456.49,51,28,Y,Y
M2265,1S,101000838,380278.06,203392.27,8659.87,50,29,,83761.25,2897,Interest FN SG,20190801,29,29,438.84,51,29,Y,Y
M2265,1S,101000838,380278.06,197292.76,8659.87,50,30,,83761.25,2897,Interest FN SG,20190901,30,30,421,51,30,Y,Y
M2265,1S,101000838,380278.06,191193.25,8659.87,50,31,,83761.25,2897,Interest FN SG,20191001,31,31,402.97,51,31,Y,Y
M2265,1S,101000838,380278.06,185093.74,8659.87,50,32,,83761.25,2897,Interest FN SG,20191101,32,32,384.76,51,32,Y,Y
M2265,1S,101000838,380278.06,178994.23,8659.87,50,33,,83761.25,2897,Interest FN SG,20191201,33,33,366.36,51,33,Y,Y
M2265,1S,101000838,380278.06,172894.72,8659.87,50,34,,83761.25,2897,Interest FN SG,20200101,34,34,347.76,51,34,Y,Y
M2265,1S,101000838,380278.06,166795.21,8659.87,50,35,,83761.25,2897,Interest FN SG,20200201,35,35,328.96,51,35,Y,Y
M2265,1S,101000838,380278.06,160695.7,8659.87,50,36,,83761.25,2897,Interest FN SG,20200301,36,36,309.97,51,36,Y,Y
M2265,1S,101000838,380278.06,154596.19,8659.87,50,37,,83761.25,2897,Interest FN SG,20200401,37,37,290.78,51,37,Y,Y
M2265,1S,101000838,380278.06,148496.68,8659.87,50,38,,83761.25,2897,Interest FN SG,20200501,38,38,271.39,51,38,Y,Y
M2265,1S,101000838,380278.06,142397.17,8659.87,50,39,,83761.25,2897,Interest FN SG,20200601,39,39,251.8,51,39,Y,Y
M2265,1S,101000838,380278.06,136297.66,8659.87,50,40,,83761.25,2897,Interest FN SG,20200701,40,40,232,51,40,Y,Y
M2265,1S,101000838,380278.06,130198.15,8659.87,50,41,,83761.25,2897,Interest FN SG,20200801,41,41,211.99,51,41,Y,Y
M2265,1S,101000838,380278.06,124098.64,8659.87,50,42,,83761.25,2897,Interest FN SG,20200901,42,42,191.77,51,42,Y,Y
M2265,1S,101000838,380278.06,117999.13,8659.87,50,43,,83761.25,2897,Interest FN SG,20201001,43,43,171.35,51,43,Y,Y
M2265,1S,101000838,380278.06,111899.62,8659.87,50,44,,83761.25,2897,Interest FN SG,20201101,44,44,150.7,51,44,Y,Y
M2265,1S,101000838,380278.06,105800.11,8659.87,50,45,,83761.25,2897,Interest FN SG,20201201,45,45,129.84,51,45,Y,Y
M2265,1S,101000838,380278.06,99700.6,8659.87,50,46,,83761.25,2897,Interest FN SG,20210101,46,46,108.76,51,46,Y,Y
M2265,1S,101000838,380278.06,93601.09,8659.87,50,47,,83761.25,2897,Interest FN SG,20210201,47,47,87.46,51,47,Y,Y
M2265,1S,101000838,380278.06,87501.58,8659.87,50,48,,83761.25,2897,Interest FN SG,20210301,48,48,65.94,51,48,Y,Y
M2265,1S,101000838,380278.06,81402.07,8659.87,50,49,,83761.25,2897,Interest FN SG,20210401,49,49,44.19,51,49,Y,Y
M2265,1S,101000838,380278.06,75302.56,8659.87,50,50,,83761.25,2897,Interest FN SG,20210501,50,50,22.21,51,50,Y,Y
M2265,1S,101000838,380278.06,69203.05,8659.87,50,51,,83761.25,2897,Interest FN SG,20210601,51,999,0,51,51,Y,Y
M2265,1S,101000838,380278.06,63103.54,8659.87,50,51,,83761.25,2872,Ext Admin,20210701,51,999,7707.25,51,51,Y,Y
M2285,2,101000839,659121.55,650948.44,13173.06,50,1,,83761.25,2589,Markup,20170401,1,1,1.98,51,1,N,Y
M2285,2,101000839,659121.55,642775.33,13173.06,50,2,,83761.25,2589,Markup,20170501,2,2,1.98,51,2,N,Y
M2285,2,101000839,659121.55,634602.22,13173.06,50,3,,83761.25,2589,Markup,20170601,3,3,1.98,51,3,N,Y
M2285,2,101000839,659121.55,626429.11,13173.06,50,4,,83761.25,2589,Markup,20170701,4,4,1.98,51,4,N,Y
M2285,2,101000839,659121.55,618256,13173.06,50,5,,83761.25,2589,Markup,20170801,5,5,1.98,51,5,N,Y
M2285,2,101000839,659121.55,610082.89,13173.06,50,6,,83761.25,2589,Markup,20170901,6,6,1.98,51,6,N,Y
M2285,2,101000839,659121.55,601909.78,13173.06,50,7,,83761.25,2589,Markup,20171001,7,7,1.98,51,7,N,Y
M2285,2,101000839,659121.55,593736.67,13173.06,50,8,,83761.25,2589,Markup,20171101,8,8,1.98,51,8,N,Y
M2285,2,101000839,659121.55,585563.56,13173.06,50,9,,83761.25,2589,Markup,20171201,9,9,1.98,51,9,N,Y
M2285,2,101000839,659121.55,577390.45,13173.06,50,10,,83761.25,2589,Markup,20180101,10,10,1.98,51,10,N,Y
M2285,2,101000839,659121.55,569217.34,13173.06,50,11,,83761.25,2589,Markup,20180201,11,11,1.98,51,11,N,Y
M2285,2,101000839,659121.55,561044.23,13173.06,50,12,,83761.25,2589,Markup,20180301,12,12,1.98,51,12,N,Y
M2285,2,101000839,659121.55,552871.12,13173.06,50,13,,83761.25,2589,Markup,20180401,13,13,1.98,51,13,N,Y
M2285,2,101000839,659121.55,544698.01,13173.06,50,14,,83761.25,2589,Markup,20180501,14,14,1.98,51,14,N,Y
M2285,2,101000839,659121.55,536524.9,13173.06,50,15,,83761.25,2589,Markup,20180601,15,15,1.98,51,15,N,Y
M2285,2,101000839,659121.55,528351.79,13173.06,50,16,,83761.25,2589,Markup,20180701,16,16,1.98,51,16,N,Y
M2285,2,101000839,659121.55,520178.68,13173.06,50,17,,83761.25,2589,Markup,20180801,17,17,1.98,51,17,N,Y
M2285,2,101000839,659121.55,512005.57,13173.06,50,18,,83761.25,2589,Markup,20180901,18,18,1.98,51,18,N,Y
M2285,2,101000839,659121.55,503832.46,13173.06,50,19,,83761.25,2589,Markup,20181001,19,19,1.98,51,19,N,Y
M2285,2,101000839,659121.55,495659.35,13173.06,50,20,,83761.25,2589,Markup,20181101,20,20,1.98,51,20,N,Y
M2285,2,101000839,659121.55,487486.24,13173.06,50,21,,83761.25,2589,Markup,20181201,21,21,1.98,51,21,N,Y
M2285,2,101000839,659121.55,479313.13,13173.06,50,22,,83761.25,2589,Markup,20190101,22,22,1.98,51,22,N,Y
M2285,2,101000839,659121.55,471140.02,13173.06,50,23,,83761.25,2589,Markup,20190201,23,23,1.98,51,23,N,Y
M2285,2,101000839,659121.55,462966.91,13173.06,50,24,,83761.25,2589,Markup,20190301,24,24,1.98,51,24,N,Y
M2285,2,101000839,659121.55,454793.8,13173.06,50,25,,83761.25,2589,Markup,20190401,25,25,1.98,51,25,N,Y
M2285,2,101000839,659121.55,446620.69,13173.06,50,26,,83761.25,2589,Markup,20190501,26,26,1.98,51,26,N,Y
M2285,2,101000839,659121.55,438447.58,13173.06,50,27,,83761.25,2589,Markup,20190601,27,27,1.98,51,27,N,Y
M2285,2,101000839,659121.55,430274.47,13173.06,50,28,,83761.25,2589,Markup,20190701,28,28,1.98,51,28,N,Y
M2285,2,101000839,659121.55,422101.36,13173.06,50,29,,83761.25,2589,Markup,20190801,29,29,1.98,51,29,N,Y
M2285,2,101000839,659121.55,413928.25,13173.06,50,30,,83761.25,2589,Markup,20190901,30,30,1.98,51,30,N,Y
M2285,2,101000839,659121.55,405755.14,13173.06,50,31,,83761.25,2589,Markup,20191001,31,31,1.98,51,31,N,Y
M2285,2,101000839,659121.55,397582.03,13173.06,50,32,,83761.25,2589,Markup,20191101,32,32,1.98,51,32,N,Y
M2285,2,101000839,659121.55,389408.92,13173.06,50,33,,83761.25,2589,Markup,20191201,33,33,1.98,51,33,N,Y
M2285,2,101000839,659121.55,381235.81,13173.06,50,34,,83761.25,2589,Markup,20200101,34,34,1.98,51,34,N,Y
M2285,2,101000839,659121.55,373062.7,13173.06,50,35,,83761.25,2589,Markup,20200201,35,35,1.98,51,35,N,Y
M2285,2,101000839,659121.55,364889.59,13173.06,50,36,,83761.25,2589,Markup,20200301,36,36,1.98,51,36,N,Y
M2285,2,101000839,659121.55,356716.48,13173.06,50,37,,83761.25,2589,Markup,20200401,37,37,1.98,51,37,N,Y
M2285,2,101000839,659121.55,348543.37,13173.06,50,38,,83761.25,2589,Markup,20200501,38,38,1.98,51,38,N,Y
M2285,2,101000839,659121.55,340370.26,13173.06,50,39,,83761.25,2589,Markup,20200601,39,39,1.98,51,39,N,Y
M2285,2,101000839,659121.55,332197.15,13173.06,50,40,,83761.25,2589,Markup,20200701,40,40,1.98,51,40,N,Y
M2285,2,101000839,659121.55,324024.04,13173.06,50,41,,83761.25,2589,Markup,20200801,41,41,1.98,51,41,N,Y
M2285,2,101000839,659121.55,315850.93,13173.06,50,42,,83761.25,2589,Markup,20200901,42,42,1.98,51,42,N,Y
M2285,2,101000839,659121.55,307677.82,13173.06,50,43,,83761.25,2589,Markup,20201001,43,43,1.98,51,43,N,Y
